Flights (2008)	7M	flights_2008_7M	flights_2008_7M.tar.gz
Flights (2008)	10k	flights_2008_10k	flights_2008_10k.tar.gz
NYC Tree Census (2015)	683k	nyc_trees_2015_683k	nyc_trees_2015_683k.tar.gz
